Global Company Key,Data Date,Data Year - Fiscal,Ticker Symbol,Company Name,Current Assets - Total,Accounts Payable - Trade,Assets - Total,Cash,Cost of Goods Sold,Common Shares Outstanding,Long-Term Debt - Total,Depreciation and Amortization,Dividends - Total,Inventories - Total,Current Liabilities - Total,Liabilities - Total,Net Income (Loss),"Property, Plant and Equipment - Total (Net)",Retained Earnings,Receivables - Total,Sales/Turnover (Net),Stockholders Equity - Parent,Interest and Related Expense - Total,"Selling, General and Administrative Expense",Price Close - Annual - Fiscal,Standard Industry Classification Code
1783,20181130,2018,ARTW,ARTS WAY MFG INC,12.145,0.802,21.325,0.004,15.255,4.216,2.523,0.961,0,10.356,5.765,8.288,-3.387,7.517,9.967,1.66,19.727,13.037,0.305,6.015,2.39,3523
1820,20190131,2018,ALOT,ASTRONOVA INC,62.608,5.956,118.983,7.534,76.506,6.957,12.87,6.152,1.933,30.161,24.665,49.208,5.73,10.38,48.693,23.486,136.657,69.775,0.876,45.279,19.98,3577
2136,20181231,2018,VZ,VERIZON COMMUNICATIONS INC,34636,7232,264829,2745,55205,4132.033,105873,17380,9853,1336,37930,210119,15528,89286,45912,25859,130863,53145,5573,28487,56.22,4812
2390,20181031,2018,BRID,BRIDGFORD FOODS CORP,53.216,7.655,101.494,8.179,113.811,9.076,0,3.94,0,23.413,18.367,35.814,6.517,32.638,48.248,20.293,174.257,65.68,,49.929,16.77,2013
2393,20180630,2018,BGG,BRIGGS & STRATTON,679.206,204.173,1443.966,44.923,1419.401,42.617,199.954,57.183,23.951,411.831,384.106,873.542,-11.32,422.08,819.208,182.801,1881.294,570.424,23.092,321.71,17.61,3510
2411,20190331,2018,BTY10,BT GROUP PLC,13601.221,5392.824,60279.56,2169.632,21111.585,1984.564,19242.785,4617.956,1957.357,480.549,12504.684,47039.076,2811.666,23226.521,11439.403,4649.212,30550.656,13240.484,774.869,,14.79,4813
2435,20190430,2018,BF.B,BROWN FORMAN CORP,2719,150,5139,307,1086,477.172,2290,72,310,1520,703,3492,835,816,1875,609,3324,1647,88,1037,53.29,2085
2444,20181231,2018,BC,BRUNSWICK CORP,1880.2,527.8,4285.7,294.4,3692.4,86.757,1179.5,140.4,67.8,943.7,1256.5,2703.1,265.3,805.3,1772.6,550.7,5159.2,1582.6,48.2,833.6,46.45,3510
2581,20181231,2018,CVV,CVD EQUIPMENT CORP,19.447,0.713,52.515,11.439,18.015,6.536,12.052,1.141,0,3.22,4.071,16.123,-5.201,30.403,10.179,4.065,24.334,36.392,0.463,10.433,3.55,3559
2663,20180731,2018,CPB,CAMPBELL SOUP CO,2296,893,14529,226,5411,301,7998,394,422,1199,3594,13156,261,3233,2106,785,8685,1364,222,1563,40.9,2030
2710,20190228,2018,STZ,CONSTELLATION BRANDS,3684,616.7,29231.5,93.6,3695.3,190.129,11759.8,330.2,558.9,2130.4,3163.8,16394.3,3435.9,5267.3,13922.3,1267.9,8116,12551,379.1,1541.3,169.16,2082
2721,20181231,2018,CAJ,CANON INC,18686.149,3212.722,44655.635,4745.362,16996.779,1079.749,3299.063,2292.761,1623.811,5571.453,9384.668,17149.199,2303.708,9943.727,30140.859,7067.125,36019.495,25771.867,7.264,13604.157,27.6,3577
2817,20181231,2018,CAT,CATERPILLAR INC,38603,7051,78509,7857,35050,575.543,25000,2766,1985,11529,28218,64429,6147,13574,28743,17452,54722,14039,1126,7328,127.07,3531
2884,20181231,2018,CTL,CENTURYLINK INC,3820,1933,70256,488,10862,1080.167,35409,5120,2344,120,5531,50428,-1733,26408,-4104,2614,23443,19828,2230,3772,15.15,4813
2960,20181231,2018,CHE,CHEMED CORP,159.84,50.15,975.529,4.831,1228.644,15.873,89.2,38.863,18.662,5.705,191.67,384.195,205.544,162.033,1225.617,119.504,1782.648,591.334,4.99,269.452,283.28,8082
3007,20180630,2018,EAT,BRINKER INTL INC,156.284,104.662,1347.34,10.872,2589.35,40.798,1499.624,153.324,69.922,24.242,434.34,2065.649,125.882,938.929,2677.197,53.659,3135.417,-718.309,58.986,155.95,47.6,5812
3036,20181231,2018,CBB,CINCINNATI BELL INC,445.9,331.9,2730.2,15.4,698.7,50.184,1953.2,252,10.4,46.5,541.7,2805.2,-69.8,1844,-2884.9,342.8,1378.2,-75,132.5,313.4,7.78,4813
3105,20181231,2018,IHRT,IHEARTMEDIA INC,2235.017,163.149,12269.515,406.493,2532.948,91.01,20426.585,530.903,0,18.416,1247.649,23829.857,-201.91,1791.14,-13663.376,1575.17,6325.78,-11591.21,722.931,2233.721,0.441,4832
3138,20181231,2018,COKE,COCA COLA CONSOLIDATED INC,797.418,337.166,3009.928,13.548,2905.15,9.354,1131.034,190.341,9.353,210.033,601.737,2554.762,-19.93,1014.252,282.17,509.794,4625.364,358.187,50.506,1463.416,177.38,2086
3144,20181231,2018,KO,COCA-COLA CO,30634,2498,83216,8926,10704,4268,25364,1066,6644,2766,29223,64158,6434,8232,50420,3396,31856,16981,946,10338,47.35,2086
3226,20181231,2018,CMCSA,COMCAST CORP,21848,8494,251684,3814,64308,4525.962,107345,11017,3499,0,27603,177866,11731,44437,41615,11104,94507,71613,3479,,34.05,4841
3362,20190531,2018,CAG,CONAGRA BRANDS INC,2733.8,1255.3,22213.8,236.6,6489.7,486.085,10655.7,331.6,376.5,1571.7,2142.6,14750.1,678.3,2395.3,4937.6,831.7,9538.4,7384.6,389,1210.2,26.77,2000
3424,20181231,2018,BH,BIGLARI HOLDINGS INC,114.933,41.967,1029.493,48.557,661.549,0.621,240.001,19.208,0,7.537,122.985,459.038,19.392,274.716,561.644,15.743,809.894,570.455,19.884,132.909,113.58,5812
3465,20181231,2018,CUO,CONTINENTAL MATERIALS CORP,47.342,7.002,75.703,0.594,143.016,1.698,0,2.633,0,16.72,20.19,26.927,-5.856,17.171,61.131,25.743,163.983,48.776,0.539,26.229,10.811,3585
3505,20181231,2018,TAP,MOLSON COORS BEVERAGE CO,2766.3,1616.8,30109.8,1057.9,5977.2,216.1,8975.9,826.8,354.2,591.8,4300.9,16374,1116.5,4608.3,6542.9,871,10769.6,13507.4,311.7,2539.8,56.16,2082
3570,20180731,2018,CBRL,CRACKER BARREL OLD CTRY STOR,306.752,122.332,1527.355,114.656,2499.831,24.012,400,93.266,207.649,156.253,364.619,945.574,247.62,1149.135,537.492,19.496,3030.445,581.781,15.169,143.756,146.495,5812
3639,20180930,2018,CUB,CUBIC CORP,668.147,125.579,1304.883,112.208,815.856,27.255,208.849,46.6,7.355,84.199,328.339,580.687,12.31,117.546,691.191,392.458,1202.898,700.121,10.424,303.913,73.05,3578
3650,20181231,2018,CMI,CUMMINS INC,9818,2822,19062,1303,17446,157.6,1597,608,718,3759,6384,10803,2141,4096,11110,3983,23809,7348,127,3339,133.64,3510
3708,20181231,2018,WEN,WENDY'S CO,665.718,21.741,4292.035,431.405,548.588,231.233,2752.783,128.879,80.532,3.687,284.185,3643.586,460.115,1213.236,84.604,109.805,1589.936,648.449,119.618,659.896,15.61,5812
3835,20181031,2018,DE,DEERE & CO,,2655,70108,3904,25002.2,318.455,27237.4,1927.1,833.8,6148.9,,58802.8,2368.4,13032.9,23125.4,37815.3,36577.7,11287.8,1207.6,5083.1,135.44,3523
3851,20181231,2018,DAL,DELTA AIR LINES INC,6340,2976,60266,1565,33181,679.944,14054,2329,909,1055,18578,46579,3935,34329,2214,2314,44438,13687,311,3664,49.9,4512
3946,20181231,2018,DBD,DIEBOLD NIXDORF INC,2203.4,509.5,4311.9,458.4,3450.8,76.174,2190,139,7.7,610.1,1568.4,4341.1,-568.7,304.1,-472,737.2,4578.6,-186.4,154.9,960.5,2.49,3578
3980,20180930,2018,DIS,DISNEY (WALT) CO,16825,6503,98598,4150,32726,1488,17226,3011,2529,2706,17860,44643,12598,29540,79582,9334,59434,48773,807,8860,116.94,4888
4058,20181231,2018,DOV,DOVER CORP,2503.754,969.531,8365.771,396.221,4133.061,144.917,2953.241,282.58,283.57,748.796,1827.421,5597.105,570.267,806.497,7572.39,1241.189,6992.118,2768.666,130.972,1674.862,70.95,3585
4108,20181231,2018,FLS,FLOWSERVE CORP,2383.145,418.893,4616.277,619.683,2484.531,130.556,1414.829,109.888,100.253,633.871,1080.975,2955.497,119.671,610.096,2969.06,1021.013,3832.666,1642.315,58.16,881.612,38.02,3561
4194,20181231,2018,KODK,EASTMAN KODAK CO,878,149,1511,246,1074,42.8,5,70,20,236,778,1341,-16,246,-611,238,1325,170,9,273,2.55,3577
4418,20180731,2018,ENZ,ENZO BIOCHEM INC,83.2,9.516,101.66,60.041,57.255,47.182,0.353,3.13,0,7.278,20.186,20.539,-10.321,7.636,-250.121,13.147,104.713,81.121,,56.492,4.42,8071
4497,20181231,2018,BOOM,DMC GLOBAL INC,132.216,24.243,240.418,13.375,209.158,14.906,38.23,9.52,1.191,51.074,64.565,106.132,30.473,95.14,54.277,59.709,326.429,134.286,1.461,61.213,35.12,3533
4579,20180630,2018,FARM,FARMER BROTHERS CO,173.514,56.603,475.531,2.438,369.038,16.952,0.058,30.464,0.389,104.431,178.457,246.476,-18.28,186.589,158.268,58.803,606.544,229.055,3.177,194.832,30.55,2090
4598,20190531,2018,FDX,FEDEX CORP,13086,3030,54403,2319,51513,260.627,16617,3353,683,553,9013,36646,540,30429,23783,9649,69693,17757,652,9607,154.28,4513
4759,20180930,2018,BDL,FLANIGANS ENTERPRISES INC,19.025,9.219,67.265,13.414,83.303,1.859,12.613,2.803,0.465,3.223,13.31,25.923,3.677,45.78,34.61,0.474,113.497,35.193,0.753,19.947,28,5812
4809,20181231,2018,FLO,FLOWERS FOODS INC,543.724,242.084,2845.537,25.306,2066.828,210.896,990.64,144.124,149.716,187.699,400.339,1587.27,157.16,743.847,836.239,291.399,3951.852,1258.267,35.686,1481.328,18.47,2050
4826,20180630,2018,FONR,FONAR CORP,67.065,1.3,118.311,19.634,38.052,6.415,0.306,3.9,0,1.518,14.567,16.077,21.231,16.492,-79.773,44.563,81.516,98.675,0.16,19.881,26.55,8071
4988,20181231,2018,TGNA,TEGNA INC,635.222,83.226,5276.842,135.862,1065.002,215.759,2944.466,86.787,60.269,0,369.217,3935.918,405.665,375.215,6293.001,446.371,2207.282,1340.924,192.065,361.431,10.87,4833
5071,20190531,2018,GIS,GENERAL MILLS INC,4186.5,2854.1,30111.2,,10422.7,601.9,11624.8,620.1,1181.7,1559.3,7087.1,22191.8,1752.7,3787.2,12371.3,1972.1,16865.2,7054.5,530.2,2947.4,49.44,2040
5087,20181231,2018,SPXC,SPX CORP,598.4,153.6,2057.5,68.8,1099.8,43.45,331.9,26.8,0,128.8,470.2,1642.6,81.2,184.2,-405.2,379.2,1538.6,414.9,21.5,290.2,28.01,3585
5237,20181231,2018,GRC,GORMAN-RUPP CO,208.686,16.678,368.282,,289.929,26.117,0,14.484,65.551,87.387,48.465,75.15,39.979,113.493,285.491,67.714,414.334,293.132,0.001,57.982,32.41,3561
5252,20181231,2018,GGG,GRACO INC,723.216,56.902,1472.741,132.118,724.053,165.171,266.391,46.7,93.065,283.982,299.803,720.868,341.054,229.295,75.877,274.608,1653.292,751.873,14.385,446.112,41.85,3561
5284,20181231,2018,GTN,GRAY TELEVISION INC,872.745,8.403,4213.445,666.98,596.403,88.752,2549.224,74.453,0,0,150.396,3026.256,210.803,363.142,351.12,183.592,1084.132,1187.189,106.628,40.91,14.74,4833
5568,20181231,2018,KHC,KRAFT HEINZ CO,9075,4153,103461,1130,16183,1220,30770,983,3048,2667,7503,51683,-10192,7078,-6796,2281,26268,51657,1281,3068,43.04,2030
5597,20181231,2018,HSY,HERSHEY CO,2239.181,502.314,7703.02,587.998,3937.791,209.729,3254.28,260.436,564.28,784.879,2418.566,6295.754,1177.562,2130.294,6675.24,594.145,7791.069,1398.721,151.95,1817.451,107.18,2060
5606,20181031,2018,HPQ,HP INC,21387,14816,34622,5166,47355,1560.27,4524,528,899,6062,25131,35261,5327,2198,-1318,8003,58472,-639,312,6263,24.14,3570
5621,20181231,2018,CRAWA,CRAWFORD UNITED CORP,23.293,5.17,50.607,5.058,49.467,2.721,19.284,1.607,0,7.581,16.856,37.842,3.614,13.304,9.578,9.835,66.378,12.765,0.749,7.989,10.5,3564
5650,20190331,2018,HTHIY,HITACHI LTD,45446.37,12688.794,86876.816,,59546.868,482.803,6393.888,3306.666,697.12,12244.329,32538.989,47038.286,2008.404,17658.436,21153.348,21658.604,85559.458,29443.915,216.456,15892.516,64.778,3570
5709,20181031,2018,HRL,HORMEL FOODS CORP,2050.1,618.83,8142.292,459.136,7388.409,534.135,624.84,161.858,398.012,963.527,1138.914,2537.474,1012.14,1512.6,5486.458,604.433,9545.7,5600.811,26.494,838.205,43.64,2011
5860,20181231,2018,ITT,ITT INC,1645.1,339.2,3846.8,561.2,1757.5,87.6,8.8,100.4,47.4,402.3,872.1,2021.9,333.7,518.8,1734.8,540,2745.1,1822.4,0.4,584.7,48.27,3561
5878,20181231,2018,ITW,ILLINOIS TOOL WORKS,5778,524,14870,1504,8332,328.1,6029,461,1186,1318,3542,11612,2563,1791,19540,2799,14768,3254,257,2391,126.69,3560
5959,20181231,2018,TT,TRANE TECHNOLOGIES PLC,5732,1705.3,17914.9,903.4,10418.6,241.905,3740.7,356.7,480.8,1677.8,4315.7,10850.1,1337.6,1730.8,8475.7,2748.4,15668.2,7022.7,204.1,2882.1,91.23,3585
6268,20180930,2018,JCI,JOHNSON CONTROLS INTL PLC,11823,4644,48797,200,20935,925.007,9654,1085,968,3224,11250,26339,2162,6171,5658,7065,31400,21164,524,6124,35,3585
6375,20181231,2018,K,KELLOGG CO,3157,2427,17780,321,8204,343.865,8207,516,762,1330,4529,14621,1336,3731,6152,1375,13547,2601,287,2940,57.01,2040
6386,20180630,2018,KMT,KENNAMETAL INC,1546.166,221.903,2925.737,556.153,1438.076,81.646,591.505,108.68,65.104,525.466,886.531,1695.41,200.18,824.213,580.358,401.29,2367.853,1194.325,30.081,497.657,35.9,3540
6494,20190331,2018,KMTUY,KOMATSU LTD,17769.214,2409.145,32833.726,1339.974,15826.555,943.909,4264.021,1186.419,843.419,7558.63,9765.947,15660.97,2314.747,7006.952,14984.029,7614.484,24594.419,16385.028,217.504,3977.055,23.224,3531
6506,20181231,2018,KUBTY,KUBOTA CORP,14943.252,2795.921,26392.129,,11607.058,246.423,4467.92,450.643,370.928,3378.686,8410.969,13391.062,1263.209,3008.059,10670.562,8665.142,16864.502,12211.915,17.317,3025.157,71.162,3523
6509,20180930,2018,KLIC,KULICKE & SOFFA INDUSTRIES,987.273,48.527,1185.74,320.63,468.491,67.143,15.187,19.015,16.233,115.191,174.076,305.533,56.676,76.067,609.627,243.373,889.121,880.207,1.054,232.259,23.84,3559
6565,20180630,2018,LRCX,LAM RESEARCH CORP,9149.911,510.983,12479.478,4512.257,5652.201,156.892,1806.562,326.395,409.243,1876.162,3150.308,5899.435,2380.681,902.547,8203.745,2176.936,11076.998,6580.043,97.387,1880.161,172.85,3559
6573,20180630,2018,LANC,LANCASTER COLONY CORP,378.877,57.978,804.491,205.752,897.244,27.488,0,26.154,64.531,90.861,93.767,152.209,135.314,190.813,1271.084,72.96,1222.925,652.282,0,125.368,138.42,2030
6737,20181231,2018,LECO,LINCOLN ELECTRIC HLDGS INC,1237.799,268.6,2349.825,358.849,1927.807,63.546,702.549,72.346,106.802,361.829,538.182,1462.233,287.066,478.801,2270.701,421.917,3028.674,886.942,24.503,623.199,78.85,3540
6831,20180831,2018,LUB,LUBYS INC,19.75,10.457,199.989,3.722,328.49,29.504,0.137,17.453,0,4.022,81.564,87.361,-33.568,138.287,73.929,8.787,365.196,112.628,2.647,47.683,2.02,5812
6972,20190331,2018,MKTAY,MAKITA CORP,4450.326,262.744,6139.032,1003.723,2726.219,271.467,1.119,101.717,149.449,1984.868,819.386,929.794,503.125,1014.743,4648.184,717.01,4427.305,5168.862,0.442,892.693,34.829,3540
6994,20181231,2018,MTW,MANITOWOC CO,842.9,249.2,1541.9,140.3,1482.6,35.589,266.7,36.4,0,453.1,496.6,940.6,-67.1,288.9,73,191.2,1846.8,601.3,40.9,248,14.77,3530
7146,20181130,2018,MKC,MCCORMICK & CO INC,1479.9,710,10256.4,96.6,2897.9,132.1,4052.9,139.4,280.5,786.3,2001.7,7074.2,936.7,985.1,1400.3,518.1,5408.9,3170.9,174.6,1429.5,150,2090
7154,20181231,2018,MCD,MCDONALD'S CORP,4053.2,1207.9,32811.2,866,8936.3,767.1,31075.3,1302.9,3255.9,51.1,2973.5,39069.6,5924.3,22842.7,47877.5,2441.5,21025.2,-6258.4,986.8,2200.2,177.57,5812
7185,20180930,2018,GENC,GENCOR INDUSTRIES INC,145.081,1.838,153.023,8.012,70.613,14.541,0,1.38,0,30.114,8.486,10.844,12.564,7.889,128.863,0.993,98.614,142.179,0,12.906,12.05,3567
7658,20181231,2018,NL,NL INDUSTRIES,166.644,5.398,547.242,116.259,76.47,48.727,0.5,3.476,0,17.102,81.323,243.684,-41.017,32.026,-23.114,28.232,118.217,284.115,0.037,38.879,3.51,3562
7696,20190331,2018,NATH,NATHAN'S FAMOUS INC,87.161,5.222,94.306,75.446,58.81,4.195,145.449,1.212,4.187,0.535,14.924,164.45,21.493,4.889,-52.879,10.173,101.849,-70.144,10.792,13.851,68.4,2013
7741,20181231,2018,NHC,NATIONAL HEALTHCARE CORP,322.009,19.759,1080.948,43.247,848.982,15.255,74.128,41.894,30.153,7.47,157.924,346.491,58.964,534.65,513.69,98.563,978.681,733.278,4.697,28.7,78.45,8051
7750,20181231,2018,THC,TENET HEALTHCARE CORP,4636,1307,22409,411,15894,102.537,14644,802,0,305,3857,20302,111,6993,-2459,3114,18313,-119,1011,,17.14,8062
7863,20181231,2018,NUVR,NUVERA COMMUNICATIONS INC,9.22,3.061,160.231,1.585,24.133,5.175,57.084,10.343,2.379,2.581,10.941,85.636,7.764,64.508,65.89,4.283,56.683,74.595,2.281,9.857,18.29,4813
7908,20190331,2018,NTTYY,NIPPON TELEGRAPH & TELEPHONE,59382.022,8231.781,201206.335,8538.548,77315.856,1917.397,26148.593,11915.064,2830.182,2992.887,47181.616,94672.001,7712.131,81338.871,55378.912,42309.512,107211.654,83612.782,241.184,,42.49,4813
7921,20181031,2018,NDSN,NORDSON CORP,884.102,83.59,3421.012,95.678,906.812,58.037,1294.207,108.407,72.443,264.477,350.28,1970.271,377.375,386.666,2309.061,491.423,2254.668,1450.741,49.576,734.856,122.67,3569
7991,20181231,2018,TEX,TEREX CORP,2423,788.2,3485.9,368,4099.3,69.6,1214.7,55.3,30,1212,1214.7,2624.9,113.7,371.6,464.2,745.4,5125,860.5,73.1,616.9,27.57,3530
8229,20181231,2018,PFIN,P & F INDUSTRIES  -CL A,32.206,2.755,55.586,0.999,39.723,3.594,0,2.085,0.723,20.496,9.883,10.051,0.856,9.775,33.916,9.574,64.995,45.535,0.228,21.705,7.73,3540
8334,20181231,2018,PAR,PAR TECHNOLOGY CORP,55.692,12.644,94.681,3.485,156.413,16.172,0,4.73,0,22.737,40.917,48.735,-24.122,12.575,1.174,26.219,201.246,45.946,0.387,46.261,21.75,3578
8336,20181231,2018,PARF,PARADISE INC,19.794,0.932,24.784,8.036,16.46,0.52,0,0.41,0.078,9.331,2.037,2.037,-0.614,4.127,21.556,2.169,20.135,22.747,0.018,3.956,33,2060
8463,20181231,2018,PNR,PENTAIR PLC,1039.4,378.6,3806.5,74.3,1832.8,171.364,787.6,84.6,154.9,387.5,818.7,1970.4,347.4,272.6,-59.4,524.7,2965.1,1836.1,32.6,556.4,37.78,3561
8479,20181231,2018,PEP,PEPSICO INC,21893,7213,77648,8721,26979,1409,28295,2399,5098,3128,22138,63046,12515,17589,44828,7142,64661,14518,1272,24826,110.48,2080
8544,20181231,2018,PHI,PLDT INC,1919.076,1352.011,9203.87,984.809,413.931,216.056,2971.072,918.556,265.888,54.871,3673.274,6979.574,360.643,3736.152,-237.518,520.946,3141.078,2142.161,163.791,1392.239,21.38,4812
8582,20190331,2018,SENEA,SENECA FOODS CORP,603.248,61.024,848.882,11.48,1130.585,9.543,297.186,29.5,0.023,501.684,112.377,431.397,5.558,239.273,391.219,85.343,1199.581,417.485,15.765,72.549,24.6,2033
8606,20181231,2018,PBI,PITNEY BOWES INC,2324.218,285.592,5972.903,867.262,1689.656,187.675,3066.073,203.293,140.498,41.964,1857.14,5733.431,223.665,588.213,4468.351,1261.583,3522.38,239.472,110.9,1248.704,5.91,3579
8864,20180930,2018,ASYS,AMTECH SYSTEMS INC,124.29,11.374,149.406,58.331,119.415,14.217,7.96,1.854,0,24.71,45.143,56.316,5.305,16.452,-31.368,33.224,176.426,93.09,,45.335,5.34,3559
8867,20190331,2018,QMCO,QUANTUM CORP,154.288,37.395,172.871,10.79,230.8,36.04,145.621,4.266,0,37.51,178.47,372.651,-42.797,8.437,-699.364,97.705,402.68,-199.78,21.095,147.126,2.38,3572
9135,20190331,2018,RICOY,RICOH CO LTD,12542.143,1879.242,24593.417,2166.814,10621.341,724.863,6014.6,850.918,114.478,1874.857,7618.608,15397.387,446.956,2258.758,5852.689,8150.26,18168.718,8416.2,58.209,5784.85,10.453,3577
9664,20181231,2018,SHEN,SHENANDOAH TELECOMMUN CO,210.202,35.987,1484.766,85.086,257.639,49.63,749.624,166.747,13.386,5.265,88.539,1042.519,46.595,701.359,394.791,59.689,630.854,442.247,34.847,113.222,44.25,4812
9777,20190430,2018,SJM,SMUCKER (JM) CO,1625.2,591,16711.3,101.3,4717.5,113.742,4686.3,445.1,386,910.3,2341.5,8740.8,514.4,1912.4,2185.8,503.8,7838,7970.5,207.9,1508.6,122.63,2033
9882,20181231,2018,LUV,SOUTHWEST AIRLINES,5028,454,26243,1854,14706,552.603,2771,1201,348,461,7905,16390,2465,19525,15987,568,21965,9853,131,2852,46.48,4512
9899,20181231,2018,T,AT&T INC,51427,27018,531864,5204,79419,7281.629,166250,28430,14117,4015,64420,337980,19370,131473,63002,26472,170805,184089,7421,34812,28.54,4812
10008,20180630,2018,SXI,STANDEX INTERNATIONAL CORP,383.959,89.707,916.937,109.602,538.576,12.706,193.772,27.8,8.994,127.223,161.341,466.142,36.604,144.57,639.571,136.576,868.382,450.795,8.03,206.419,102.2,3585
10016,20181231,2018,SWK,STANLEY BLACK & DECKER INC,4569.4,2233.2,19408,288.7,8785.2,151.303,3819.8,506.5,384.9,2373.5,4001.6,11568.1,605.2,1915.2,4404.7,1607.8,13982.4,7836.2,277.9,3013.9,119.74,3540
10349,20190531,2018,TAYD,TAYLOR DEVICES INC,30.768,1.403,41.197,5.072,23.498,3.479,0,1.073,0,18.812,4.878,4.878,2.545,9.317,29.509,5.279,33.619,36.319,,6.046,11.0824,3569
10411,20181231,2018,TDS,TELEPHONE & DATA SYSTEMS INC,2330,365,9783,921,2336,114,2418,883,72,150,879,4479,135,3346,2646,1111,5109,4560,172,1694,32.54,4812
10441,20181231,2018,TNC,TENNANT CO,468.644,98.398,992.544,85.609,624.058,18.125,328.06,54.42,15.343,135.133,248.874,676.192,33.412,163.447,279.075,216.17,1123.511,314.422,23.342,376.804,52.11,3580
10484,20181231,2018,UAL2,UNITED AIRLINES INC,7188,2363,44786,1688,29483,0.001,13349,2240,1249,985,13217,34829,2131,28329,9359,1346,41303,9957,729,5799,,4512
10581,20181231,2018,TKR,TIMKEN CO,1737.2,273.2,4445.2,132.5,2392.5,75.954,1638.6,146,85.7,835.7,685.6,2802.5,302.8,912.1,1534.9,663.2,3580.8,1579.6,52.1,580.7,37.32,3562
10598,20181231,2018,TOFB,TOFUTTI BRANDS INC,4.536,0.368,4.89,0.558,8.952,5.154,0.5,0.01,0,1.714,0.64,1.14,0.507,0.121,3.491,2.128,13.066,3.75,0.025,3.732,1.83,2024
10609,20181231,2018,TR,TOOTSIE ROLL INDUSTRIES INC,304.046,11.817,947.361,110.899,312.078,64.04,7.5,18.669,22.929,54.524,61.391,196.864,56.893,186.101,11.545,52.718,518.92,750.622,0.181,117.691,33.4,2060
10618,20181031,2018,TTC,TORO CO,894.637,256.575,1570.984,289.124,1616.839,105.601,312.549,60.8,85.031,358.259,532.635,902.068,271.939,271.459,563.315,193.178,2619.882,668.916,19.996,567.926,56.33,3523
10740,20180630,2018,TRT,TRIO-TECH INTERNATIONAL,19.049,3.704,36.474,6.539,29.611,3.553,1.961,2.112,0,2.93,9.821,12.973,1.184,11.935,7.707,8.628,42.361,21.979,0.233,8.527,4.47,3559
10777,20180630,2018,TWIN,TWIN DISC INC,159.269,29.368,234.713,15.171,154.033,11.554,4.824,6.464,0,84.001,62.344,91.097,9.528,48.94,155.104,45.422,240.733,142.997,0.282,60.141,24.82,3560
10793,20180930,2018,TSN,TYSON FOODS INC  -CL A,5688,1694,29109,270,33817,366,7962,933,458,3513,5031,16298,3024,6169,12314,1723,40052,12803,350,1986,59.53,2011
10795,20181231,2018,UAL,UNITED AIRLINES HOLDINGS INC,7194,2363,44792,1694,29483,269.915,13349,2240,0,985,13212,34797,2129,28329,5865,1346,41303,9995,729,5801,83.73,4512
